TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Rebounding_Percent,Offensive Rebounding_percent,Turnovers_Per_Possession,Opponent_Turnovers_Per_Possession,Opponent_Fouls_Per_Possession,Extra_Scoring_Chances_Per_Game,Effective_Possession_Ratio,Opponent_Effective_Possession_Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah Thunderbirds,31,78.4,27.5,60.2,45.8,8.3,24.3,34,15,21.1,71.4,10.4,27.5,37.8,11.6,6.3,2.6,12.6,17.4,52.10%,24.50%,16.60%,17.30%,24.30%,1.9,0.941,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Bonaventure Bonnies,29,70.1,26.3,58.4,45.1,5.8,18.2,31.8,11.7,15.7,74.7,9.4,24.9,34.3,13.7,6.5,4.9,10.6,13.3,50.40%,26.10%,15.50%,18.90%,22.50%,3,0.964,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis (BKN) Terriers,30,67.5,25,61,40.9,7,22.3,31.3,10.6,14.9,71.1,11.4,23.9,35.3,11.9,6.7,2.6,12.5,16.7,48.60%,26.70%,17.50%,18.40%,20.70%,1.2,0.955,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis (PA) Red Flash,30,68.6,25.5,60.3,42.3,5.9,18.7,31.5,11.8,18.2,64.8,11.9,24.7,36.6,13,6.6,2.8,12.6,14.7,48.60%,28.20%,17.70%,17.90%,23.10%,0.1,0.963,0.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's Red Storm,32,79.6,30.3,66.8,45.3,7.3,21.6,33.5,11.8,17.4,67.7,12,25.9,37.8,18.8,8.8,5.5,11.9,17.9,49.30%,28.90%,15.60%,20.80%,21.90%,4,0.979,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Thomas - Minnesota Tommies,30,74.7,26.7,60.5,44.1,11.1,31.2,35.7,10.2,13.5,75.8,7.4,22.2,29.6,12.6,5.2,1.3,8.1,17.1,44.40%,18.60%,12.40%,15.90%,23.60%,1.1,0.963,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford Cardinal,32,66.4,24.1,55.6,43.3,7.3,21.5,33.9,11,16.7,65.9,11.5,25.4,36.9,13.1,5.6,2.6,15,17.4,55.10%,32.40%,21.90%,16.10%,24.20%,-0.3,0.929,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen F. Austin Lumberjacks,31,74.7,27.4,57.7,47.5,6,17.9,33.4,13.9,20.5,67.8,11.8,23.7,35.5,15.2,9,4.2,16.5,19.8,51.50%,32.40%,21.70%,23.60%,26.70%,2.3,0.917,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson Hatters,30,69.7,25.5,59.3,43,8.5,24.3,35,10.2,14.7,69,10.5,25.1,35.6,14.3,7,2.9,13,14.8,49.80%,25.50%,19.10%,15.70%,21.00%,-2,0.927,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Brook Seawolves,31,72.9,26.3,60,43.8,8.2,24.2,33.9,12.2,16.2,75.2,9.7,25,34.8,11.2,6.7,2.9,10.6,14.3,48.70%,24.50%,15.20%,17.00%,23.20%,0.2,0.962,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse Orange,33,77.4,27.7,61.5,45.1,9.1,24.1,37.7,12.8,17.4,73.7,10.6,25.7,36.3,14.6,7,3.8,10.7,14.2,49.00%,27.20%,14.90%,16.20%,20.40%,-0.3,0.972,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarleton Texans,31,64.6,22.7,54.3,41.9,5,16.5,30.5,14.1,18.6,75.4,9.5,21.1,30.5,11.3,7.6,2.2,12.2,18.2,45.70%,24.30%,17.80%,24.10%,26.30%,2.8,0.934,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
