,Game,Win Percentage of Asterisk Team
623,colgate v murray-state,0.4088058844301725
624,colgate v yale,0.7451421198572103
625,colgate v wright-state,0.5033067247216139
626,colgate v iowa-state,0.5828271826095202
627,colgate v vermont,0.4457881509962399
628,colgate v texas-southern,0.891760401773202
629,colgate v delaware,0.7455680999487381
630,colgate v south-dakota-state,0.5867503512474564
631,colgate v new-mexico-state,0.7175816254327869
632,colgate v saint-peters,0.8863085431687245
633,colgate v georgia-state,0.9415550392379979
634,colgate v jacksonville-state,0.7907721539595376
635,colgate v montana-state,0.7535235740674098
636,colgate v longwood,0.7710409510625414
637,colgate v norfolk-state,0.9277191114856085
638,colorado-state v gonzaga,0.11875633325503492
639,colorado-state v kentucky,0.1794801127364642
640,colorado-state v duke,0.21879931871035246
641,colorado-state v houston,0.18149293151753804
642,colorado-state v ucla,0.21591966137643231
643,colorado-state v tennessee,0.2255061218583818
644,colorado-state v villanova,0.21436293947817253
645,colorado-state v kansas,0.2538095970390533
646,colorado-state v iowa,0.26207107129126134
647,colorado-state v texas-tech,0.25316167048994853
648,colorado-state v connecticut,0.2437172349975749
