Rank,Team,Opponent_rebounds,Opponent Fg%,Opponent FG Attempts,Opponent FGM,Opponent PPG,Win_Percent,,,,,,,,
278,Canisius,36.5,46.60%,57.4,26.7,72.5,0.323,,,,,,,,
332,Central Ark,38.3,48.40%,63.4,30.7,83.2,0.31,,,,,,,,
275,Central Conn,36.5,46.10%,57.1,26.3,72.1,0.25,,,,,,,,
226,Central FL,35.6,42.30%,57.1,24.1,68.2,0.6,,,,,,,,
326,Central Mich,38,45.70%,58.5,26.7,77,0.233,,,,,,,,
242,Charl South,36,48.50%,57.9,28.1,77.2,0.107,,,,,,,,
66,Charlotte,32.5,46.10%,56.7,26.1,71.2,0.548,,,,,,,,
20,Chattanooga,30.6,43.40%,55.7,24.2,65.8,0.781,,,,,,,,
231,Chicago St,35.7,46.30%,55.2,25.5,74.4,0.219,,,,,,,,
319,Cincinnati,37.8,40.20%,57.7,23.2,66.2,0.531,,,,,,,,
349,Citadel,39.4,44.00%,65.5,28.8,78.7,0.357,,,,,,,,
80,Clemson,32.8,42.60%,56.3,24,68.5,0.515,,,,,,,,
74,Cleveland St,32.7,42.60%,56.7,24.1,71,0.643,,,,,,,,
163,Coastal Car,34.6,39.30%,59.9,23.6,66.5,0.48,,,,,,,,
106,Col Charlestn,33.5,45.20%,58.9,26.7,76.4,0.531,,,,,,,,
103,Colgate,33.4,43.00%,59.2,25.4,67.6,0.667,,,,,,,,
58,Colorado,32.3,41.70%,58.3,24.3,67.1,0.656,,,,,,,,
51,Colorado State,32.1,42.60%,56.1,23.9,65.9,0.828,,,,,,,,
305,Columbia,37.2,46.70%,62,29,79.5,0.12,,,,,,,,
92,UConn,33.1,40.10%,57.6,23.1,65.2,0.719,,,,,,,,
358,Coppin State,43.5,41.90%,63,26.4,74.7,0.281,,,,,,,,
286,Cornell,36.7,44.20%,61.7,27.3,76.2,0.542,,,,,,,,
222,Creighton,35.5,39.50%,63.2,25,65.9,0.667,,,,,,,,
43,CS Bakersfld,31.8,44.20%,48.5,21.4,67.4,0.24,,,,,,,,
55,CSU Fullerton,32.2,44.10%,55.2,24.3,66,0.655,,,,,,,,
235,Dartmouth,35.8,44.50%,55.8,24.8,68,0.333,,,,,,,,
29,Davidson,31.1,42.00%,55.1,23.1,65.8,0.813,,,,,,,,
3,Dayton,29,41.20%,54.6,22.5,61.2,0.697,,,,,,,,
116,Delaware,33.6,43.10%,58.3,25.1,70.3,0.636,,,,,,,,
341,Delaware St,38.8,42.90%,60,25.7,75.8,0,,,,,,,,
147,Denver,34.2,45.00%,58.2,26.2,74.8,0.333,,,,,,,,
255,DePaul,36.2,42.80%,61.7,26.4,72.2,0.484,,,,,,,,
79,Detroit,32.8,46.80%,54.1,25.3,70.3,0.464,,,,,,,,
338,Dixie State,38.5,44.80%,61.6,27.6,76.1,0.333,,,,,,,,
61,Drake,32.4,43.00%,54.2,23.3,66.8,0.688,,,,,,,,
133,Drexel,34,45.10%,58.9,26.5,70.1,0.5,,,,,,,,
132,Duke,33.9,41.70%,63,26.2,67.1,0.824,,,,,,,,
323,Duquesne,37.9,47.60%,59.4,28.3,73.4,0.2,,,,,,,,
263,E Carolina,36.2,43.30%,57.9,25,70.9,0.5,,,,,,,,
297,E Illinois,37,46.40%,58,26.9,71.9,0.071,,,,,,,,
356,E Kentucky,40.8,47.70%,59.4,28.3,76.7,0.333,,,,,,,,
331,E Michigan,38.3,45.10%,61.9,27.9,76.6,0.3,,,,,,,,
183,E Tenn St,34.9,45.10%,58.6,26.5,73.2,0.433,,,,,,,,
155,E Washingtn,34.5,43.30%,60.5,26.2,75,0.516,,,,,,,,
218,Elon,35.4,44.00%,54.1,23.8,72.6,0.267,,,,,,,,
205,Evansville,35.2,49.60%,52.7,26.2,71.2,0.172,,,,,,,,
340,F Dickinson,38.7,47.70%,60.2,28.7,79.2,0.154,,,,,,,,
149,Fairfield,34.3,43.40%,56.2,24.3,66.3,0.438,,,,,,,,
41,Fla Atlantic,31.8,44.20%,55.9,24.7,68.9,0.533,,,,,,,,
202,Fla Gulf Cst,35.2,43.80%,63.3,27.7,74.2,0.633,,,,,,,,
167,Florida,34.7,43.90%,55.3,24.3,66.1,0.594,,,,,,,,
324,Florida A&M,38,42.10%,56.3,23.7,69,0.393,,,,,,,,
275,Florida Intl,36.5,43.60%,58.4,25.4,71.8,0.433,,,,,,,,
201,Florida St,35.2,44.40%,57.1,25.4,71.9,0.548,,,,,,,,
295,Fordham,37,42.50%,57.3,24.4,66.8,0.5,,,,,,,,
14,Fresno St,30.2,41.00%,51.3,21.1,58.6,0.581,,,,,,,,
108,Furman,33.5,45.40%,56.8,25.8,68.8,0.636,,,,,,,,
259,GA Southern,36.2,41.80%,55.8,23.3,67.6,0.385,,,,,,,,
230,GA Tech,35.7,43.90%,58,25.5,71.3,0.355,,,,,,,,
166,Gard-Webb,34.6,39.60%,55.3,21.9,65.3,0.536,,,,,,,,
86,Geo Mason,33,42.30%,56.7,24,68.5,0.467,,,,,,,,
339,Geo Wshgtn,38.7,44.30%,60.6,26.8,72.8,0.4,,,,,,,,
303,Georgetown,37.1,45.90%,60.5,27.8,77,0.194,,,,,,,,
180,Georgia,34.8,47.40%,62.1,29.4,78.5,0.188,,,,,,,,
271,Georgia State,36.4,42.50%,54.9,23.4,67.2,0.6,,,,,,,,
70,Gonzaga,32.6,37.90%,64.2,24.4,65.3,0.897,,,,,,,,
342,Grambling St,38.8,42.50%,57.5,24.4,72.3,0.333,,,,,,,,
152,Grd Canyon,34.3,38.90%,56.5,22,62,0.724,,,,,,,,
351,Hampton,39.7,42.40%,58.9,25,70.7,0.269,,,,,,,,
167,Hartford,34.7,44.80%,58.1,26,72.2,0.375,,,,,,,,
221,Harvard,35.4,44.80%,54.7,24.5,70,0.435,,,,,,,,
27,Hawaii,31,42.30%,55.2,23.3,64.5,0.577,,,,,,,,
279,High Point,36.5,43.90%,57.8,25.4,70.8,0.379,,,,,,,,
224,Hofstra,35.6,46.20%,58.1,26.9,74.4,0.633,,,,,,,,
245,Holy Cross,36,47.30%,56.5,26.7,72,0.241,,,,,,,,
40,Houston,31.7,37.30%,52.7,19.6,58.9,0.853,,,,,,,,
122,Houston Bap,33.8,48.50%,57.1,27.7,79.4,0.28,,,,,,,,
309,Howard,37.3,43.70%,58.3,25.5,71.8,0.5,,,,,,,,
243,Idaho,36,48.70%,60.5,29.5,80.3,0.241,,,,,,,,
102,Idaho State,33.4,47.00%,54.4,25.6,72,0.179,,,,,,,,
223,IL-Chicago,35.5,46.50%,57.6,26.8,73.7,0.448,,,,,,,,
66,Illinois,32.5,41.60%,59.8,24.8,67.6,0.71,,,,,,,,
186,Illinois St,34.9,44.50%,59.8,26.6,75.2,0.355,,,,,,,,
264,Incar Word,36.3,50.10%,57.7,28.9,77.7,0.172,,,,,,,,
108,Indiana,33.5,39.10%,57.5,22.5,65.9,0.606,,,,,,,,
214,Indiana St,35.3,44.80%,59.8,26.8,73.6,0.286,,,,,,,,
200,Iona,35.2,41.40%,58.4,24.2,68.3,0.781,,,,,,,,
239,Iowa,35.9,43.80%,60.4,26.4,71.3,0.743,,,,,,,,
86,Iowa State,33,42.80%,51.3,22,63,0.625,,,,,,,,
119,IPFW,33.7,45.90%,56,25.7,69.9,0.633,,,,,,,,
105,IUPUI,33.4,45.30%,51.2,23.2,68.4,0.037,,,,,,,,
121,Jackson St,33.7,43.00%,54.2,23.3,65.5,0.367,,,,,,,,
7,Jacksonville,29.7,40.40%,52.4,21.2,61.1,0.63,,,,,,,,
256,James Mad,36.2,45.40%,59.1,26.9,75.1,0.482,,,,,,,,
78,Jacksonville State,32.8,40.70%,59.3,24.1,66.6,0.655,,,,,,,,
73,Kansas,32.7,41.80%,60,25.1,68.1,0.824,,,,,,,,
237,Kansas St,35.9,43.40%,55.6,24.2,67.5,0.452,,,,,,,,
136,Kennesaw St,34,45.50%,56.1,25.6,73.5,0.333,,,,,,,,
46,Kent State,31.9,41.80%,54.1,22.6,66.3,0.677,,,,,,,,
15,Kentucky,30.2,41.10%,59.4,24.4,66,0.788,,,,,,,,
118,LA Lafayette,33.7,41.50%,58.2,24.1,70.1,0.483,,,,,,,,
311,LA Monroe,37.4,45.80%,58.1,26.6,75.4,0.357,,,,,,,,
271,La Salle,36.4,43.40%,58.7,25.5,71.5,0.367,,,,,,,,
262,LA Tech,36.2,41.90%,58.6,24.5,68.5,0.677,,,,,,,,
304,Lafayette,37.1,46.80%,58.3,27.3,73.1,0.31,,,,,,,,
266,Lamar,36.3,45.30%,55.7,25.3,74.1,0,,,,,,,,
188,Lehigh,34.9,44.50%,59,26.2,71.6,0.387,,,,,,,,
163,Lg Beach St,34.6,44.70%,58.7,26.2,72.8,0.6,,,,,,,,
53,Liberty,32.1,41.40%,55.1,22.8,65.8,0.633,,,,,,,,
251,Lipscomb,36.1,43.80%,64.4,28.2,76.9,0.367,,,,,,,,
335,LIU,38.4,41.90%,62.7,26.3,74.3,0.517,,,,,,,,
22,Longwood,30.6,43.90%,55,24.1,66.6,0.786,,,,,,,,
213,Louisville,35.3,43.70%,57.6,25.2,70.1,0.406,,,,,,,,
68,Loyola Mymt,32.5,48.10%,55.5,26.7,74.3,0.357,,,,,,,,
32,Loyola Chicago,31.2,41.00%,54.1,22.2,62.1,0.774,,,,,,,,
86,Loyola-MD,33,44.90%,53.3,23.9,66.5,0.448,,,,,,,,
189,LSU,34.9,38.70%,54.5,21.1,63.5,0.667,,,,,,,,
252,Maine,36.1,48.20%,55.2,26.6,73.8,0.115,,,,,,,,
134,Manhattan,34,46.60%,57.1,26.6,73.7,0.483,,,,,,,,
197,Marist,35.1,41.50%,58.1,24.1,68.2,0.467,,,,,,,,
346,Marquette,39,41.00%,62.1,25.5,70.9,0.613,,,,,,,,
321,Marshall,37.8,46.00%,61.6,28.3,77.7,0.323,,,,,,,,
193,Maryland,35.1,43.30%,59.7,25.8,70.7,0.469,,,,,,,,
250,Maryland BC,36.1,46.30%,61.5,28.5,72.9,0.548,,,,,,,,
280,Maryland ES,36.5,44.50%,54.2,24.1,68.8,0.348,,,,,,,,
217,Mass Lowell,35.4,42.70%,56.1,23.9,67.9,0.429,,,,,,,,
236,McNeese St,35.9,46.10%,60.2,27.7,80.2,0.241,,,,,,,,
71,Memphis,32.6,39.60%,59,23.4,68.4,0.677,,,,,,,,
57,Mercer,32.2,45.50%,56.9,25.9,71.9,0.452,,,,,,,,
314,Merrimack,37.6,43.40%,53.1,23,64.9,0.448,,,,,,,,
162,Miami,34.5,46.60%,57.3,26.7,71,0.697,,,,,,,,
306,Miami (OH),37.2,46.10%,58.8,27.1,76,0.379,,,,,,,,
13,Michigan,30.1,44.70%,58.2,26,69.9,0.548,,,,,,,,
76,Michigan State,32.7,41.60%,59.5,24.7,68.4,0.647,,,,,,,,
146,Middle Tenn,34.2,42.00%,55.8,23.5,68.1,0.677,,,,,,,,
312,Minnesota,37.5,45.40%,58.2,26.4,69.2,0.433,,,,,,,,
23,Miss State,30.7,42.80%,55.6,23.8,66.4,0.546,,,,,,,,
357,Miss Val St,43,50.40%,59.6,30,83,0.071,,,,,,,,
145,Mississippi,34.2,45.50%,56,25.5,68.7,0.406,,,,,,,,
99,Missouri,33.3,44.50%,55.9,24.9,70.8,0.344,,,,,,,,
58,Missouri St,32.3,42.10%,58.1,24.4,68.7,0.688,,,,,,,,
199,Monmouth,35.1,40.70%,56.7,23.1,67.3,0.618,,,,,,,,
